【合租】天河公园 加拿大花园 4室次卧,加拿大花园,1500,http://gz.58.com/pinpaigongyu/32459155994688x.shtml?psid=132707157198396899687096324
【整租】罗冲围 泊寓横沙店|99 1室1厅,泊寓横沙店|99,1200,http://gz.58.com/pinpaigongyu/31353793549753x.shtml?psid=132707157198396899687096324
【合租】车陂 棠安苑 5室次卧,棠安苑,1400,http://gz.58.com/pinpaigongyu/32459341556165x.shtml?psid=132707157198396899687096324
【整租】白云周边 横沙|万科泊寓| 1室1厅,横沙|万科泊寓|,1300,http://gz.58.com/pinpaigongyu/31207503173426x.shtml?psid=132707157198396899687096324
【整租】罗冲围 泊寓横沙店|99 1室1厅,泊寓横沙店|99,1300,http://gz.58.com/pinpaigongyu/30599051239880x.shtml?psid=132707157198396899687096324
【合租】车陂 棠安苑 5室次卧,棠安苑,1500,http://gz.58.com/pinpaigongyu/32459355643719x.shtml?psid=132707157198396899687096324
【整租】白云周边 横沙|万科泊寓| 1室1厅,横沙|万科泊寓|,1300,http://gz.58.com/pinpaigongyu/30610496630859x.shtml?psid=132707157198396899687096324
【整租】金沙洲 横沙|万科泊寓| 1室1厅,横沙|万科泊寓|,1300,http://gz.58.com/pinpaigongyu/31207505820083x.shtml?psid=132707157198396899687096324
【整租】罗冲围 横沙|万科泊寓| 1室1厅,横沙|万科泊寓|,1200,http://gz.58.com/pinpaigongyu/30599031707073x.shtml?psid=132707157198396899687096324
【整租】南岸路 泊寓横沙店|99 1室1厅,泊寓横沙店|99,1200,http://gz.58.com/pinpaigongyu/31353776752204x.shtml?psid=132707157198396899687096324
【整租】南海 浔峰洲路8号泊寓 2室1厅,浔峰洲路8号泊寓,1250,http://gz.58.com/pinpaigongyu/32017120783673x.shtml?psid=132707157198396899687096324
【整租】世联红璞公寓 人和 人和A栋,人和,1400-1620,http://gz.58.com/pinpaigongyu/31408441520591x.shtml?psid=132707157198396899687096324
【合租】天河公园 东方新世界 4室次卧,东方新世界,1480,http://gz.58.com/pinpaigongyu/29705485771978x.shtml?psid=132707157198396899687096324
【整租】芳村 荔湾国际城、坑口 1室1厅,荔湾国际城、坑口,1200,http://gz.58.com/pinpaigongyu/31096674938307x.shtml?psid=132707157198396899687096324
【整租】冠寓 祈福 冠寓（钟村店）,祈福,1450-1600,http://gz.58.com/pinpaigongyu/31497287585067x.shtml?psid=132707157198396899687096324
